# $Id: LIM-BRMS-Rules.csv,v 1.3 2003/04/15 22:48:13 as5472 Exp $,,,,,,,,,,,,,
#Error Code,Error Text to match,LIM Error Tag,LIM Description,Origin,Severity,BusinessRule,BRMS Error Text,LIM Error,Exception Type,,,,
ORACLE_ERR,SagLfacsWc,LIM-SystemFailure-00743,SQL Exception in SAG LFACS Wirecenter Table.,BRMS,1,0,SQL Exception in SAG LFACS Wirecenter Table.,ERR_LIM_ACCESS_SAG_LFACS_WIRECENTER_TABLE,System Failure
ORACLE_ERR,ZIP COMMUNITY Table,LIM-SystemFailure-00742,SQL Exception in ZIP Community Table. ,BRMS,1,0,SQL Exception in ZIP Community Table. ,ERR_LIM_ACCESS_ZIP_COMMUNITY_TABLE,System Failure
ORACLE_ERR,null,LIM-SystemFailure-00743,SQL Exception in SAG LFACS Wirecenter Table.,BRMS,1,0,SQL Exception in SAG LFACS Wirecenter Table.,ERR_LIM_ACCESS_SAG_LFACS_WIRECENTER_TABLE,System Failure
LIM_ERR,L400-050,LIM-SystemFailure-00834,Address is not found due to out of sync data in LFACS_SAG_LU Dataset and LFACS Application.,BRMS,1,0,Address is not found due to out of sync data in LFACS_SAG_LU Dataset and LFACS Application,ERR_LIM_LFACS_ADDRESS_NOT_FOUND,System Failure
LIM_ERR,FACS007I,LIM-BusinessViolation-00001,Host down due to regularly scheduled maintenance.,BRMS,1,0,FacilityAssignment down due to regularly scheduled maintenance.,ERR_LIM_DOWN_FOR_SYS_MAINTENANCE,
LIM_ERR,FacilityAssignment,LIM-SystemFailure-00751,Host System Error. Code: <%TAG=CODE%s>  Description: <%TAG=MSG%s>.,BRMS,1,0,Host System Unable To Process Transaction,ERR_LIM_FACILITYASSIGNMENTS,System Failure
LIM_ERR,NETWORK COMMUNICATION ERROR,LIM-BusinessViolation-00001,Host down due to regularly scheduled maintenance.,BRMS,1,0,SAG01F (CIWIN) down due to regularly scheduled maintenance.,ERR_LIM_DOWN_FOR_SYS_MAINTENANCE,Business Violation
LIM_ERR,SAG01F,LIM-SystemFailure-00836,Host System Error. Code: <%TAG=CODE%s>  Description: <%TAG=MSG%s>.,BRMS,1,0,SAG01F System Exception.,ERR_LIM_SAG01F,System Failure
LIM_ERR,SAGType record,LIM-SystemFailure-00088,Unable to retrieve SAGType record from sagAddrList.,BRMS,1,0,Unable to retrieve SAGType record from sagAddrList,ERR_LIM_INTERNAL,System Failure
LIM_ERR,null,LIM-SystemFailure-00088,BRMS Host System Exception,BRMS,1,0,Host System Unable To Process Transaction,ERR_LIM_SYSTEM_FAILURE,System Failure
