# $Id: LIM-ASON-Rules.csv,v 1.3 2003/04/15 22:50:31 as5472 Exp $,,,,,,,,,
#Error Code,Error Text to match,LIM Error Tag,LIM Description,Origin,Severity,BusinessRule,ASON Error Text,LIM Error,Exception Type
SM-SystemFailure-00001,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-BusinessViolation-00001,null,LIM-BusinessViolation-00001,SM backend OSS is down due to regularly scheduled maintenance.,SM,1,0,SM backend OSS is down due to regularly scheduled maintenance.,ERR_LIM_DOWN_FOR_SYS_MAINTENANCE,Business Violation
SM-BusinessViolation-00002,null,LIM-SystemFailure-00738,SmClient BusinessViolation exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-BusinessViolation-00112,null,LIM-InvalidData-00113,Invalid Data. Reason:  TN is not in working status,SM,1,0,Invalid Data. Reason:  TN is not in working status,ERR_LIM_TN_NOT_WORKING,Invalid Data
SM-NotImplemented-00114,null,LIM-SystemFailure-00738,SmClient NotImplemented exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00115,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00116,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-InvalidData-00117,null,LIM-SystemFailure-00738,SmClient InvalidData exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00207,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
SM-SystemFailure-00234,null,LIM-SystemFailure-00738,SmClient SystemFailure exception while processing SM getServiceLocation operation.,SM,1,0,SmClient SystemFailure exception while processing SM getServiceLocation operation.,ERR_LIM_SMCLIENT_EXCEPTION_SYSTEM_FAILURE,System Failure
