# $Id: LIM-PREMIS-Rules.csv,v 1.3 2003/03/21 19:24:44 dm2328 Exp $,,,,,,,,,
#Error Code,Error Text to Match,LIM Error Tag,LIM Output Description,Origin,Severity,BusinessRule,PREMIS Error Text,LIM Error,Exception Type
#9000,null,LIM-SystemFailure-00095,Host System Exception.,PREMIS,1,0,RogueWave Exception:,ERR_LIM_PREMISSERVER,System Failure
#9001,null,LIM-SystemFailure-00095,Host System Exception.,PREMIS,1,0,Timeout waiting for:,ERR_LIM_PREMISSERVER,System Failure
#9003,null,LIM-SystemFailure-00095,Host System Exception.,PREMIS,1,0,Data Communications Error to:,ERR_LIM_PREMISSERVER,System Failure
9004,null,LIM-BusinessViolation-00001,Host DBServer down due to regularly scheduled maintenance.,PREMIS,1,0,The system is not available at this time.,ERR_LIM_DOWN_FOR_SYS_MAINTENANCE,Business Violation
#9005,null,LIM-SystemFailure-00095,Host System Exception.,PREMIS,1,0,Transaction Aborted,ERR_LIM_PREMISSERVER,System Failure
#9008,null,LIM-SystemFailure-00095,Host System Exception.,PREMIS,1,0,Internal Error.,ERR_LIM_PREMISSERVER,System Failure
#9009,null,LIM-SystemFailure-00095,Host System Exception.,PREMIS,1,0,Service Startup Error:,ERR_LIM_PREMISSERVER,System Failure
9011,null,LIM-SystemFailure-00095,DB Connection Failed.,PREMIS,1,0,DB Connection Failed.,ERR_LIM_PREMISSERVER,System Failure
#9012,null,LIM-SystemFailure-00095,Host System Exception.,PREMIS,1,0,Internal error.,ERR_LIM_PREMISSERVER,System Failure
#9013,null,LIM-SystemFailure-00095,Host System Exception.,PREMIS,1,0,Internal error.,ERR_LIM_PREMISSERVER,System Failure
#9014,null,LIM-SystemFailure-00095,Host System Exception.,PREMIS,1,0,Internal error.,ERR_LIM_PREMISSERVER,System Failure
#9015,null,LIM-SystemFailure-00095,Host System Exception.,PREMIS,1,0,Internal error.,ERR_LIM_PREMISSERVER,System Failure
#9020,null,LIM-SystemFailure-00095,Host System Exception.,PREMIS,1,0,Missing Environment Variable:,ERR_LIM_PREMISSERVER,System Failure
#9023,null,LIM-SystemFailure-00095,Host System Exception.,PREMIS,1,0,Invalid Environment variable:,ERR_LIM_PREMISSERVER,System Failure
#9030,null,LIM-SystemFailure-00095,Host System Exception.,PREMIS,1,0,Listen Exception:,ERR_LIM_PREMISSERVER,System Failure
#9040,null,LIM-SystemFailure-00095,Host System Exception.,PREMIS,1,0,Internal Error.,ERR_LIM_PREMISSERVER,System Failure
9100,null,LIM-SystemFailure-00978,Host System DBServer Exception.,PREMIS,1,0,DBServer Internal Error.,ERR_LIM_DBSERVER,System Failure
9200,null,LIM-BusinessViolation-00001,Host down due to regularly scheduled maintenance.,PREMIS,1,0,The system is not available at this time.,ERR_LIM_DOWN_FOR_SYS_MAINTENANCE,Business Violation
TIME_OUT,PREMIS time out,LIM-SystemFailure-00001,PREMIS time out,PREMIS,1,0,Host Timed Out,ERR_LIM_TIMEOUT,System Failure
TIME_OUT,HOSTLOOKUP time out,LIM-SystemFailure-00001,HOSTLOOKUP time out,HOSTLOOKUP,1,0,Host Timed Out,ERR_LIM_TIMEOUT,System Failure
ADDR_ERR,Request and Response are different,LIM-ObjectNotFound-00001,Neither an exact match or a close alternative was found.,PREMIS,1,0,Neither an exact match or a close alternative was found.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
ADDR_ERR,Outside territory,LIM-BusinessViolation-00003,Address found but not within territory.,PREMIS,1,0,Address found but not within territory.,ERR_LIM_OUTSIDE_TERRITORY,Business Violation
ADDR_ERR,null,LIM-ObjectNotFound-00001,Neither an exact match or a close alternative was found.,PREMIS,1,0,Neither an exact match or a close alternative was found.,ERR_LIM_ADDRESS_NOT_FOUND,Object Not Found
